"description","category","subcategory","merchant","amount","is_expense"
"Passport application fee","Travel & Vacation","Visa & Passport Fees","Gamewatchers Safaris",983.45,1
"Toy car","Childcare & Parenting","Kids' Toys & Games","Baby Bliss Kenya",888.26,1
"Pakas boarding fee","Pets & Animal Care","Pet Boarding & Sitting","Puppy Adoption Kenya",552.76,1
"KRA filing","Legal & Professional Services","Tax Preparation Services","Family Law & Divorce Lawyers Kenya",688.61,1
"Toy car racing","Childcare & Parenting","Kids' Toys & Games","Malaika Babysitters",479.51,1
"Chips funga mbili","Food & Dining","Restaurants","Lamu House Restaurant",6592.3,1
"Fundi came","Housing & Home Expenses","Home Maintenance & Repairs","Davis & Shirtliff Ltd",940.17,1
"Khaligraph tickets","Leisure & Entertainment","Concerts & Live Events","Capital FM Kenya",162.29,1
"Drama club dues","Leisure & Entertainment","Theater & Performing Arts","Movie Tickets Ltd.",497.85,1
"Dog food kibble","Pets & Animal Care","Pet Boarding & Sitting","Waggy Tails Pet Store",231.29,1
"Matatu fare","Transportation","Vehicle Leasing & Rentals","Subaru Kenya",361.98,1
"DSTV monthly","Miscellaneous & Unexpected Expenses","Subscriptions & Memberships","Repairs",570.62,1
"Samosas and chai","Business & Work Expenses","Business Travel Expenses","Posta Kenya Business Parcel Services",792.35,1
"SGR return trip","Travel & Vacation","Travel Insurance","Camptrek Safaris",266.67,1
"Charitable Donations purchase","Gifts & Donations","Charitable Donations","UNHCR Kenya",995.41,1
"Chai and mandazi","Travel & Vacation","Hotels & Lodging","Let's Go Travel",607.31,1
"School fees","Education & Learning","Tuition Fees","Udemy",124.89,1
"Land rates due","Business & Work Expenses","Professional Services","Brand Kenya Board",306.71,1
"Avengers advance","Leisure & Entertainment","Movie Tickets","Nairobi Film Festival",933.12,1
"Headphones mpya","Shopping","Electronics & Gadgets","China Square",720.19,1
"Matatu route permit","Legal & Professional Services","Licensing & Permits","Small Business Legal Consultants Kenya",513.19,1
"Mbwa salon","Pets & Animal Care","Grooming & Pet Spa Services","Urban Pets Kenya",272.66,1
"Novel ya Ngugi","Leisure & Entertainment","Books & Magazines","Fox Cineplex Sarit",141.06,1
"Safari ya Maasai","Travel & Vacation","Tours & Excursions","Tembo Tours and Safaris",495.56,1
"Travel pillow","Travel & Vacation","Travel Accessories","Go Africa Safaris & Travel",393.38,1
"Water Project Support","Gifts & Donations","Charitable Donations","World Concern Kenya",497.31,1
"KRA filing","Legal & Professional Services","Tax Preparation Services","Legal Aid Kenya",479.3,1
"Chapati joint","Travel & Vacation","Hotels & Lodging","Bonfire Adventures",277.6,1
"Sukuma wiki","Food & Dining","Groceries","Peponi Hotel Restaurant",6112.61,1
"Samosas na chai","Business & Work Expenses","Business Travel Expenses","Zoho Kenya",725.77,1
"Frames repair","Health & Fitness","Vision Care","St. Theresa's Mission Hospital",797.78,1
"Safaricom bundles","Childcare & Parenting","Extracurricular Activities","The Toy Store Kenya",49.07,1
"Dictionary and pen","Shopping","Books & Stationery","Carrefour",63.11,1
"Dog food refill","Pets & Animal Care","Pet Boarding & Sitting","Kenya Dog Rescue Association",640.91,1
"Pilau delivered","Food & Dining","Takeout & Delivery","Artcaffe",382.23,1
"Kitenge wristwatch","Shopping","Jewelry & Watches","The Village Market",902.38,1
"Mpesa ya Mama","Gifts & Donations","Personal Gifts","Giraffe Centre Community Outreach",727.49,1
"Pension contribution","Financial Expenses","Retirement Savings","Daraja Microfinance Bank",960.01,1
"Wheel alignment","Transportation","Car Maintenance & Repairs","Offshore Global Logistics",672.51,1
"Church harambee ting","Gifts & Donations","Fundraisers & Contributions","Kenya Community Development Foundation (KCDF)",992.19,1
"Chips funga","Food & Dining","Fast Food","Crystal Bay Resort Restaurant",789.96,1
"Fade ya line","Personal Care & Grooming","Haircuts & Barber Services","Cinnabar Green",37.43,1
"Nyama choma treat","Travel & Vacation","Hotels & Lodging","Pollman's Tours & Safaris Ltd",91.68,1
"Matatu fare","Leisure & Entertainment","Theater & Performing Arts","Kiss TV Kenya",476.82,1
"Toy car gift","Childcare & Parenting","Kids' Toys & Games","Baby Love Store",869.74,1
"Chapati kwa lunch","Travel & Vacation","Hotels & Lodging","Uniglobe Northline Travel",189.66,1
"Passport holder brown","Travel & Vacation","Travel Accessories","IntoAfrica Eco-Travel",650.06,1
"Wedding & Birthday Gifts purchase","Gifts & Donations","Wedding & Birthday Gifts","Plan International Kenya",704.9,1
"Construction permit fees","Legal & Professional Services","Licensing & Permits","DLA Piper Africa Kenya",376.17,1
"Form 1 fees","Childcare & Parenting","School Fees & Tuition","Malaika Babysitters",186.19,1
"Matatu route permit","Legal & Professional Services","Licensing & Permits","Crowe Erastus & Co. Kenya",405.7,1
"Dog food","Pets & Animal Care","Pet Food & Treats","Puppy Adoption Kenya",47.19,1
"Petrol full tank","Utilities","Gas","Barefoot Power",239.77,1
"Kitenge material","Gifts & Donations","Personal Gifts","Saruni Women's Shelter Kenya",454.95,1
"Beads za ushanga","Shopping","Hobby & Craft Supplies","Voi Safari Mall",239.01,1
"Form 1 fees","Childcare & Parenting","School Fees & Tuition","Speech Therapy Services for Children Kenya",589.57,1
"tomatoes","Food & Dining","Groceries","Market",80.0,1
"Netflix sub","Utilities","Cable & Streaming Services","Kenya Electricity Generating Company (KenGen)",812.4,1
"Football club fee","Childcare & Parenting","Extracurricular Activities","Rusinga Kindergarten",305.91,1
"Sacco contribution","Financial Expenses","Investment Contributions","NCBA Bank Kenya",407.74,1
"Fundi wa simu","Miscellaneous & Unexpected Expenses","Repairs & Maintenance","Repairs",873.7,1
"Termite fumigation service","Housing & Home Expenses","Pest Control","Family Bank",643.62,1
"Servant gal","Housing & Home Expenses","Home Cleaning Services","Resolution Insurance",677.55,1
"Zawadi harusi","Gifts & Donations","Wedding & Birthday Gifts","Habitat for Humanity Kenya",469.83,1
"Physical Therapy purchase","Health & Fitness","Physical Therapy","Karen Hospital",538.74,1
"Salon gel polish","Personal Care & Grooming","Manicure & Pedicure","Indulge Kenya",459.28,1
"Second lobe piercing","Personal Care & Grooming","Tattoos & Piercings","Neutrogena Kenya",61.2,1
"Video game pass","Shopping","Toys & Games","Eastmatt Supermarkets",941.56,1
"Mama Mboga Safi","Housing & Home Expenses","Home Cleaning Services","G4S Kenya",217.49,1
"Matatu fare","Transportation","Public Transit","Uber",253.45,1
"Mandazi na chai","Food & Dining","Cafés & Coffee Shops","La Salumeria",126.55,1
"Project Management Fees","Education & Learning","Professional Certifications","Moi University",36.43,1
"Church harambee","Gifts & Donations","Fundraisers & Contributions","World Vision",536.22,1
"Mbwa boarding","Pets & Animal Care","Pet Boarding & Sitting","Pet Boarding Services Nairobi",774.98,1
"Football boots mpya","Shopping","Sports & Outdoor Equipment","Malindi Complex",899.52,1
"Land rates","Housing & Home Expenses","Property Taxes","ACG Group Limited",254.17,1
"Uni fees","Education & Learning","Tuition Fees","Decagon Kenya",785.98,1
"Mama mboga","Gifts & Donations","Tips & Gratuities","The Grace Foundation Kenya",838.36,1
"Chama contribution","Financial Expenses","Retirement Savings","Airtel Money",761.82,1
"Curtains za bedroom","Shopping","Home Decor & Furnishings","LC Waikiki",550.19,1
"Tax Preparation Services purchase","Legal & Professional Services","Tax Preparation Services","Company Secretarial Services Kenya",515.0,1
"Kitenge new","Shopping","Clothing & Accessories","Nakumatt Cinemax",281.46,1
"Zawadi harusi","Gifts & Donations","Wedding & Birthday Gifts","Gift of Hope Foundation",818.5,1
"Meno safi","Health & Fitness","Dental Care","Smart Gyms",741.28,1
"Netflix sub","Utilities","Cable & Streaming Services","Strathmore Energy Research Centre",117.3,1
"Fail to appear","Legal & Professional Services","Court Fees","Technology & Innovation Law Kenya",543.3,1
"Chama contribution","Financial Expenses","Investment Contributions","Agricultural Finance Corporation",133.2,1
"Fundi charges","Miscellaneous & Unexpected Expenses","Repairs & Maintenance","Overdraft Fees",552.94,1
"Card renewal fee","Financial Expenses","Credit Card Annual Fees","African Banking Corporation",935.89,1
"Movie zetu monthly","Leisure & Entertainment","Streaming Services","Cinematic Kenya",946.6,1
"Domain renewal fee","Business & Work Expenses","Website Hosting & Domains","Kenya Export Promotion and Branding Agency",804.13,1
"Chama contribution","Financial Expenses","Investment Contributions","SMEP Microfinance Bank",864.57,1
"Tokens za ride","Leisure & Entertainment","Amusement Parks & Arcades","Amazon Prime",732.87,1
"Dawa ya Paka","Pets & Animal Care","Pet Medications","Pet Boarding Services Nairobi",989.44,1
"Manukato tamu","Personal Care & Grooming","Perfumes & Fragrances","Nivea Kenya",556.88,1
"Tiba ya goti","Health & Fitness","Physical Therapy","Body By Alison Caroline",226.71,1
"Shamba tools gone","Miscellaneous & Unexpected Expenses","Lost or Stolen Items","Legal Fees",138.9,1
"Loan repayment","Housing & Home Expenses","Mortgage Payments","Deco Trends Ltd",639.95,1
"Mbolea ya maua","Housing & Home Expenses","Landscaping & Gardening","Pacis Insurance Company",827.38,1
"Hospital deposit","Miscellaneous & Unexpected Expenses","Emergency Expenses","Repairs",284.92,1
"Comprehensive cover due","Financial Expenses","Insurance Premiums","Kenya Post Office Savings Bank",140.59,1
"Airpods pro pair","Shopping","Electronics & Gadgets","Two Rivers Mall",54.18,1
"Social media boost","Business & Work Expenses","Advertising & Marketing","WooCommerce Kenya",84.23,1
"Website design complete","Income & Earnings","Freelance Income","Refunds",273.16,1
"Kitanda mpya","Shopping","Home Decor & Furnishings","Lake Basin Mall Kisumu",219.21,1
"Petrol leo","Utilities","Gas","Kenya Electricity Transmission Company (KETRACO)",532.38,1
"Acrylic nail refill","Personal Care & Grooming","Manicure & Pedicure","Woolworths Beauty Kenya",282.65,1
"Simu imeibiwa","Miscellaneous & Unexpected Expenses","Lost or Stolen Items","Overdraft Fees",653.57,1
"Website design client","Income & Earnings","Freelance Income","Lottery Winnings",468.7,1
"KRA filing","Legal & Professional Services","Tax Preparation Services","Family Law & Divorce Lawyers Kenya",28.85,1
"KRA Filing fees","Legal & Professional Services","Tax Preparation Services","Ochieng’ Onyango Kibet & Ohaga (OOKO) Advocates",511.7,1
"Mall parking","Transportation","Parking Fees","GLANCE ROADWAYS",542.06,1
"Public Transit purchase","Transportation","Public Transit","Shell",526.87,1
"Expressway passage","Transportation","Road Tolls","Kenya Airways",330.26,1
"Simu Imeibiwa","Miscellaneous & Unexpected Expenses","Lost or Stolen Items","Overdraft Fees",696.66,1
"Filing appeal papers","Legal & Professional Services","Court Fees","Njeri Kariuki Advocates",889.38,1
"Nissan rental","Transportation","Vehicle Leasing & Rentals","Kenya Vehicle Manufacturers Ltd.",952.62,1
"Safaricom M-Pesa royalties","Income & Earnings","Royalties & Licensing Income","Land Leasing",281.8,1
"Shika massage","Health & Fitness","Physical Therapy","Kenya Red Cross Society",662.8,1
"Wristwatch repair","Shopping","Jewelry & Watches","Meru Greenwood Park Mall",944.46,1
"Acrylics refill","Personal Care & Grooming","Manicure & Pedicure","Forever Living Products Kenya",272.03,1
"Mamas kanga gift","Gifts & Donations","Holiday Gifts","Kenyans for Kenya Initiative",572.99,1
"Motorbike license renewal","Transportation","Vehicle Registration & Licensing","Shell",307.85,1
"Dawa haraka","Miscellaneous & Unexpected Expenses","Emergency Expenses","Legal Fees",128.62,1
"Vet blues dawa","Pets & Animal Care","Pet Medications","Kenya Society for the Protection & Care of Animals (KSPCA)",88.92,1
"Aroma therapy session","Personal Care & Grooming","Spas & Massages","Salon Malik Kenya",269.71,1
"Billboard campaign fees","Business & Work Expenses","Advertising & Marketing","Sendo Kenya",141.21,1
"School fees deposit","Childcare & Parenting","School Fees & Tuition","Baby Love Store",934.26,1
"Fundis charge","Miscellaneous & Unexpected Expenses","Repairs & Maintenance","Overdraft Fees",772.44,1
"Physical Therapy purchase","Health & Fitness","Physical Therapy","St. Theresa's Mission Hospital",164.61,1
"Khaligraph tickets","Leisure & Entertainment","Concerts & Live Events","Viusasa",777.59,1
"Maasai shuka","Travel & Vacation","Souvenirs & Gifts from Travel","Fly540",97.75,1
"* Bodaboda cover","Business & Work Expenses","Business Insurance","KRA iTax",356.65,1
"Termite fumigation service","Housing & Home Expenses","Pest Control","Galaxy Paints & Coating Co. Ltd",392.03,1
"Knee rehab session","Health & Fitness","Physical Therapy","manyactive",345.13,1
"School shoes basi","Childcare & Parenting","Children's Clothing & Shoes","Gertrude’s Children's Hospital",615.87,1
"Lotion ya ngozi","Personal Care & Grooming","Skincare & Cosmetics","The Blow Dry Bar",815.67,1
"Dawa ya tumbo","Childcare & Parenting","Children's Health & Medical Care","Kids Wonderland Toys & Gifts",228.08,1
"Doggo boarding fee","Pets & Animal Care","Pet Boarding & Sitting","Pet Store Kenya",386.66,1
"Data science course","Education & Learning","Online Courses","GEMS Cambridge International School",110.48,1
"Chama contribution","Financial Expenses","Retirement Savings","Kenya Women Microfinance Bank",344.45,1
"Shilling investment topup","Legal & Professional Services","Financial Advisors","DLA Piper Africa Kenya",800.73,1
"Salon braids done","Personal Care & Grooming","Salons & Beauty Treatments","Garnier Kenya",625.06,1
"Passport application fees","Travel & Vacation","Visa & Passport Fees","Destination Services",597.4,1
"Sabuni na mafuta","Personal Care & Grooming","Personal Hygiene Products","Taji Natural Hair Products",261.45,1
"Dog food kibble","Shopping","Pet Supplies","Toi Market",646.55,1
"Dawa ya homa","Childcare & Parenting","Children's Health & Medical Care","Children's Activity Centers Kenya",468.77,1
"Student Loans Repayment purchase","Education & Learning","Student Loans Repayment","Digital Learning Africa",559.78,1
"Kitenge","Maasai beads","Travel & Vacation","Souvenirs & Gifts from Travel,Sunworld Safaris",77.67,1
"Mbolea ya garden","Housing & Home Expenses","Landscaping & Gardening","Madison Group Limited",634.96,1
"DSTV subscription","Utilities","Cable & Streaming Services","Internet Solutions Kenya",460.23,1
"Kikapu mzigo","Travel & Vacation","Travel Accessories","Cheli & Peacock Safaris",771.01,1
"Nairobi flight","Transportation","Airfare & Flights","DHL Worldwide Express Kenya Limited",186.47,1
"Safari ya Maasai","Travel & Vacation","Tours & Excursions","Topcats Safaris Ltd",878.3,1
"Salon client","Income & Earnings","Side Hustle Earnings","Salary",768.98,1
"Website design complete","Income & Earnings","Freelance Income","Freelance Income",648.18,1
"Fundis charge","Miscellaneous & Unexpected Expenses","Repairs & Maintenance","Overdraft Fees",970.73,1
"Shamba investment","Financial Expenses","Investment Contributions","Consolidated Bank of Kenya",692.77,1
